return_id,order_id,return_date,return_reason,return_amount
1,14619,2022-05-04,Changed Mind,71.85
2,49458,2022-12-28,Damaged,23.93
3,2054,2025-09-16,Wrong Item,40.75
4,20941,2023-10-06,Changed Mind,28.66
5,5043,2024-11-27,Damaged,120.75
6,13065,2024-10-05,Quality Issue,161.63
7,54174,2025-11-12,Wrong Item,6.84
8,16980,2023-04-11,Quality Issue,52.24
9,44411,2022-11-30,Late Delivery,22.14
10,9122,2025-11-20,Damaged,57.72
11,49552,2024-04-22,Quality Issue,162.56
12,11251,2023-07-05,Wrong Item,19.06
13,2477,2024-03-02,Damaged,76.04
14,77462,2022-12-13,Quality Issue,15.74
15,30435,2022-11-17,Damaged,7.85
16,1265,2025-08-07,Wrong Item,135.07
17,3718,2025-12-22,Wrong Item,60.35
18,73342,2022-10-06,Wrong Item,21.74
19,23568,2022-07-25,Quality Issue,103.5
20,55295,2024-09-17,Wrong Item,23.86
21,19725,2023-03-16,Damaged,30.27
22,9699,2025-01-20,Damaged,84.01
23,63753,2024-05-10,Late Delivery,75.55
24,74850,2022-10-02,Quality Issue,26.12
25,12284,2024-08-04,Damaged,129.65
26,36740,2024-04-23,Wrong Item,10.2
27,60692,2024-07-10,Changed Mind,25.53
28,1161,2024-07-04,Wrong Item,4.22
29,19768,2023-05-02,Damaged,256.35
30,78078,2024-02-02,Damaged,7.6
31,43323,2024-03-07,Quality Issue,71.78
32,67787,2022-09-04,Damaged,11.71
33,6736,2025-09-11,Changed Mind,37.57
34,21728,2023-08-12,Quality Issue,49.39
35,65340,2022-12-30,Changed Mind,140.55
36,36043,2024-08-18,Quality Issue,24.76
37,60931,2024-06-22,Late Delivery,223.21
38,40040,2023-11-05,Late Delivery,52.76
39,1524,2024-07-01,Wrong Item,24.35
40,69646,2025-06-20,Changed Mind,13.14
41,57980,2023-11-09,Late Delivery,29.35
42,22280,2024-08-24,Late Delivery,68.74
43,25449,2024-04-19,Wrong Item,47.92
44,15019,2024-12-13,Damaged,47.5
45,3732,2025-04-16,Late Delivery,32.21
46,14880,2025-06-28,Changed Mind,43.12
47,73695,2024-03-13,Damaged,11.83
48,51119,2023-08-08,Changed Mind,133.33
49,77823,2023-10-28,Quality Issue,25.53
50,60237,2024-04-07,Wrong Item,73.81
51,70856,2025-08-10,Wrong Item,32.44
52,36790,2022-03-13,Changed Mind,18.58
53,76655,2022-07-23,Late Delivery,44.29
54,65124,2023-12-27,Changed Mind,55.78
55,14923,2023-06-26,Quality Issue,34.93
56,26473,2024-10-12,Quality Issue,40.22
57,72891,2024-11-22,Changed Mind,20.18
58,15284,2023-08-17,Wrong Item,81.93
59,63879,2022-07-01,Quality Issue,10.75
60,43155,2025-01-01,Damaged,165.68
61,26915,2022-09-30,Late Delivery,33.95
62,16043,2022-03-28,Quality Issue,14.93
63,70774,2025-05-29,Wrong Item,184.6
64,30538,2025-05-09,Changed Mind,26.72
65,47000,2024-09-05,Changed Mind,108.36
66,60049,2023-02-24,Late Delivery,42.67
67,74195,2025-11-17,Wrong Item,11.76
68,45434,2023-02-24,Wrong Item,29.99
69,10442,2024-11-16,Wrong Item,6.57
70,65486,2023-10-22,Late Delivery,133.42
71,44696,2025-03-01,Damaged,16.69
72,16005,2023-05-18,Late Delivery,26.13
73,39276,2023-11-24,Wrong Item,7.5
74,76374,2022-02-24,Quality Issue,18.69
75,58198,2025-12-27,Wrong Item,23.21
76,30076,2023-11-20,Late Delivery,39.41
77,59567,2024-04-11,Wrong Item,8.64
78,43353,2022-09-01,Wrong Item,183.45
79,10009,2022-11-10,Damaged,41.2
80,12021,2025-09-26,Quality Issue,8.52
81,23122,2024-01-17,Late Delivery,19.3
82,8279,2023-02-25,Quality Issue,59.62
83,44731,2025-08-29,Damaged,347.27
84,37779,2025-07-07,Wrong Item,17.35
85,6998,2025-04-23,Damaged,33.14
86,25229,2022-03-24,Changed Mind,19.84
87,56239,2022-09-16,Changed Mind,66.27
88,35604,2026-01-15,Changed Mind,70.43
89,68660,2022-04-06,Changed Mind,64.61
90,12418,2023-04-18,Late Delivery,91.58
91,20241,2024-08-27,Quality Issue,32.39
92,58317,2024-09-01,Wrong Item,31.24
93,55753,2024-08-27,Late Delivery,165.0
94,50395,2022-11-10,Quality Issue,17.67
95,25700,2022-04-14,Wrong Item,8.0
96,53554,2025-06-06,Changed Mind,36.04
97,23933,2025-08-29,Damaged,18.79
98,51438,2025-11-19,Damaged,16.8
